epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9119.47,1.59079,1.02611,0.00612,0.84163,0.7361,0.77103,0.46043,2.00532,1.16274,0.00847,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,9390.18,1.58274,1.01433,0.00604,0.84744,0.73232,0.77032,0.46016,2.02451,1.16108,0.0085,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,9662.47,1.58664,1.01387,0.00603,0.84443,0.73549,0.77263,0.4628,2.02057,1.15724,0.00846,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,9932.87,1.57013,1.00471,0.00601,0.83875,0.74009,0.77349,0.46498,2.01635,1.15403,0.00842,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,10206,1.56177,0.99919,0.00598,0.83968,0.74183,0.77468,0.46661,2.0071,1.15302,0.00834,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,10477.2,1.55648,0.9909,0.00593,0.84109,0.74082,0.77431,0.46815,2.00475,1.16378,0.00827,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,10745.8,1.55258,0.98415,0.00587,0.8432,0.73853,0.77292,0.4679,2.00277,1.16331,0.00823,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,11020,1.54957,0.97778,0.00582,0.84463,0.73627,0.77194,0.46779,2.00335,1.16741,0.0082,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,11290.9,1.54523,0.9713,0.0058,0.83884,0.73915,0.77155,0.46876,2.00827,1.16594,0.00823,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,11560.4,1.53463,0.96533,0.00579,0.84518,0.73768,0.77168,0.47077,2.00817,1.16443,0.00822,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,11831.1,1.52668,0.95631,0.00578,0.84964,0.73416,0.77156,0.47075,2.01011,1.16346,0.00825,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,12104.6,1.52368,0.95784,0.00577,0.84881,0.73607,0.77227,0.47145,2.01177,1.15687,0.00826,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,12376.6,1.5171,0.94637,0.00569,0.85059,0.73475,0.77304,0.47286,2.00855,1.15523,0.00823,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,12647.1,1.50843,0.93856,0.00562,0.85201,0.73498,0.77308,0.47369,2.00716,1.15635,0.0082,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,12921.4,1.50476,0.93407,0.00563,0.84856,0.73697,0.77333,0.4737,2.00871,1.1519,0.0082,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,13194.4,1.49876,0.92507,0.00553,0.85087,0.73576,0.77334,0.47409,2.00747,1.15062,0.00815,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,13470.1,1.48875,0.92065,0.00555,0.8492,0.73815,0.77361,0.47515,2.00677,1.14908,0.00815,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,13741.3,1.48665,0.91255,0.00551,0.8411,0.74055,0.77377,0.47515,2.00675,1.14522,0.00814,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,14017.7,1.4745,0.90704,0.00552,0.84694,0.73796,0.7739,0.47495,2.00545,1.14675,0.00813,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,14285.4,1.43087,0.80623,0.00571,0.84827,0.73809,0.77463,0.47602,2.00697,1.14264,0.00813,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,14558,1.42309,0.79152,0.00567,0.85418,0.73596,0.77496,0.47712,2.00631,1.14256,0.00812,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,14827.3,1.40965,0.78396,0.0056,0.85657,0.73511,0.77487,0.47634,2.00612,1.14217,0.00809,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,15099.2,1.4029,0.7764,0.00549,0.85062,0.73955,0.77485,0.47653,2.00709,1.141,0.00811,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,15370.4,1.39701,0.7667,0.00549,0.84707,0.74184,0.77501,0.47809,2.00829,1.13879,0.00812,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,15639.1,1.38722,0.76124,0.00543,0.84288,0.74329,0.77513,0.47832,2.00787,1.13894,0.0081,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,15913.5,1.38672,0.75341,0.00537,0.84717,0.74238,0.77533,0.47889,2.00871,1.13789,0.00811,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,16180.7,1.37695,0.75051,0.00533,0.84379,0.74436,0.77532,0.47916,2.00913,1.13635,0.0081,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,16451.6,1.37352,0.74242,0.00533,0.84549,0.74263,0.77586,0.47945,2.00977,1.13462,0.00812,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,16722.4,1.36916,0.74012,0.00527,0.84657,0.74202,0.77595,0.47995,2.01012,1.13361,0.00812,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
